slice,run_id,setup_id,setup_type_original,entry_signal_ts,exit_reason,exit_reason_category,close_return_pct,mfe_pct,mae_pct,trade_return_pct,replay_minus_outcome,outcome_positive,replay_positive
ctx_spike_count_ge2,2026-04-03_to_2026-04-03_run_001,d3c3b041d9a40362587004d2,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-03 12:32:00+00:00,TAKE_PROFIT,TARGET,0.00159418,0.00285943,-0.00008933,0.00022455,-0.00136963,True,True
ctx_spike_count_ge2,2026-04-03_to_2026-04-03_run_001,dcf0abfc7c987bdb44720ccd,FAILED_BREAK_RECLAIM_SHORT,2026-04-03 12:32:00+00:00,EXPIRY,EXPIRY,0.00626543,0.00752476,0.00458979,0.00143426,-0.00483116,True,True
ctx_spike_count_ge2,2026-04-03_to_2026-04-03_run_001,65ede0c7462397702d6f6ba2,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-03 13:56:00+00:00,STOP_LOSS,STOP,-0.00167637,0.00055529,-0.00217163,-0.00025069,0.00142568,False,False
ctx_spike_count_ge2,2026-04-03_to_2026-04-03_run_001,3c4ca6b4d057e01016d4215b,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-03 15:35:00+00:00,TAKE_PROFIT,TARGET,0.00107816,0.00141013,-0.00010168,0.00003589,-0.00104227,True,True
ctx_spike_count_ge2,2026-04-03_to_2026-04-03_run_001,0435c376709032cd1d5e3635,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-03 19:25:00+00:00,EXPIRY,EXPIRY,0.00041615,0.00092960,0.00025149,-0.00014978,-0.00056593,True,False
ctx_spike_count_ge2,2026-04-04_to_2026-04-04_run_001,814e54e29985e551111347db,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-04 01:26:00+00:00,STOP_LOSS,STOP,-0.00013827,0.00040193,-0.00019812,-0.00011314,0.00002513,False,False
ctx_spike_count_ge2,2026-04-04_to_2026-04-04_run_001,55f7d096a2eaf6a38f0f5b74,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-04 04:17:00+00:00,STOP_LOSS,STOP,-0.00058252,0.00050165,-0.00061247,-0.00048242,0.00010010,False,False
ctx_spike_count_ge2,2026-04-04_to_2026-04-04_run_001,0d446ea1ebfdaafa6a32abcb,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-04 08:22:00+00:00,STOP_LOSS,STOP,0.00085225,0.00085374,-0.00037463,-0.00028815,-0.00114039,True,False
ctx_spike_count_ge2,2026-04-04_to_2026-04-04_run_001,c47506b520c5969be32172e3,FAILED_BREAK_RECLAIM_SHORT,2026-04-04 08:22:00+00:00,STOP_LOSS,STOP,0.00121599,0.00121748,-0.00001044,-0.00065243,-0.00186842,True,False
ctx_spike_count_ge2,2026-04-04_to_2026-04-04_run_001,fcc5eaa29d72ebd06a41c355,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-04 10:03:00+00:00,TAKE_PROFIT,TARGET,0.00145122,0.00145122,0.00010899,0.00016574,-0.00128548,True,True
