variant,run_id,trade_id,source_setup_id,entry_signal_ts,entry_activation_ts,exit_ts,exit_reason_category,holding_bars,trade_return_pct
baseline_current,2026-03-21_to_2026-03-21_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_73d9605ed7997458699da9f3,73d9605ed7997458699da9f3,2026-03-21 04:27:00+00:00,2026-03-21 04:28:00+00:00,2026-03-21 04:28:00+00:00,STOP,0,-0.00028415
baseline_current,2026-03-22_to_2026-03-22_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_0e722da44869616fd12717a5,0e722da44869616fd12717a5,2026-03-22 15:17:00+00:00,2026-03-22 15:18:00+00:00,2026-03-22 15:18:00+00:00,TARGET,0,0.00069012
baseline_current,2026-03-24_to_2026-03-24_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_9a89bc91a19deacebaf93e03,9a89bc91a19deacebaf93e03,2026-03-24 07:08:00+00:00,2026-03-24 07:09:00+00:00,2026-03-24 07:09:00+00:00,STOP,0,-0.00054323
baseline_current,2026-03-26_to_2026-03-26_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_d27ad7cc2a353e1c1164a591,d27ad7cc2a353e1c1164a591,2026-03-26 20:13:00+00:00,2026-03-26 20:14:00+00:00,2026-03-26 20:14:00+00:00,STOP,0,-0.00067881
baseline_current,2026-03-27_to_2026-03-27_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_2914b97102da9e1cc5cdf982,2914b97102da9e1cc5cdf982,2026-03-27 07:14:00+00:00,2026-03-27 07:15:00+00:00,2026-03-27 07:16:00+00:00,STOP,1,-0.00057857
baseline_current,2026-03-30_to_2026-03-30_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_dc1d122fea6ababab9ca5718,dc1d122fea6ababab9ca5718,2026-03-30 03:26:00+00:00,2026-03-30 03:27:00+00:00,2026-03-30 03:29:00+00:00,STOP,2,-0.00032897
baseline_current,2026-03-30_to_2026-03-30_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_fdc82fd70700de10af125196,fdc82fd70700de10af125196,2026-03-30 05:11:00+00:00,2026-03-30 05:12:00+00:00,2026-03-30 05:14:00+00:00,STOP,2,-0.00095535
baseline_current,2026-03-30_to_2026-03-30_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_cdd9e320ed5efa3409afe54a,cdd9e320ed5efa3409afe54a,2026-03-30 11:28:00+00:00,2026-03-30 11:29:00+00:00,2026-03-30 11:41:00+00:00,EXPIRY,12,0.00167388
baseline_current,2026-03-30_to_2026-03-30_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_8c95baf40606bf0334673492,8c95baf40606bf0334673492,2026-03-30 13:23:00+00:00,2026-03-30 13:24:00+00:00,2026-03-30 13:24:00+00:00,STOP,0,-0.00007938
baseline_current,2026-03-30_to_2026-03-30_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_89522034e456a3a1c21cacdc,89522034e456a3a1c21cacdc,2026-03-30 13:26:00+00:00,2026-03-30 13:27:00+00:00,2026-03-30 13:31:00+00:00,TARGET,4,0.00212734
baseline_current,2026-03-30_to_2026-03-30_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_b3035b21504142de0d31ec0e,b3035b21504142de0d31ec0e,2026-03-30 22:08:00+00:00,2026-03-30 22:09:00+00:00,2026-03-30 22:21:00+00:00,EXPIRY,12,-0.00039259
baseline_current,2026-03-31_to_2026-03-31_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_97d682b7e92bbc2d6bb30683,97d682b7e92bbc2d6bb30683,2026-03-31 07:17:00+00:00,2026-03-31 07:18:00+00:00,2026-03-31 07:18:00+00:00,TARGET,0,0.00112280
baseline_current,2026-03-31_to_2026-03-31_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_4d0e53786332b73912212e57,4d0e53786332b73912212e57,2026-03-31 09:56:00+00:00,2026-03-31 09:57:00+00:00,2026-03-31 10:09:00+00:00,STOP,12,-0.00297718
baseline_current,2026-03-31_to_2026-03-31_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_c81adea5458b9ae8137fd5e0,c81adea5458b9ae8137fd5e0,2026-03-31 10:40:00+00:00,2026-03-31 10:41:00+00:00,2026-03-31 10:41:00+00:00,STOP,0,-0.00075685
baseline_current,2026-03-31_to_2026-03-31_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_b5fae11a583ba6e5590cdb4a,b5fae11a583ba6e5590cdb4a,2026-03-31 13:18:00+00:00,2026-03-31 13:19:00+00:00,2026-03-31 13:19:00+00:00,STOP,0,-0.00023424
baseline_current,2026-03-31_to_2026-03-31_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_eee8e82c613d2416679c6414,eee8e82c613d2416679c6414,2026-03-31 14:04:00+00:00,2026-03-31 14:05:00+00:00,2026-03-31 14:08:00+00:00,TARGET,3,0.00196906
baseline_current,2026-03-31_to_2026-03-31_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_255e72d49fe29a14f022ce72,255e72d49fe29a14f022ce72,2026-03-31 15:08:00+00:00,2026-03-31 15:09:00+00:00,2026-03-31 15:10:00+00:00,TARGET,1,0.00018267
baseline_current,2026-03-31_to_2026-03-31_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_6a8bf19c00c0f910ef988ca9,6a8bf19c00c0f910ef988ca9,2026-03-31 16:45:00+00:00,2026-03-31 16:46:00+00:00,2026-03-31 16:48:00+00:00,TARGET,2,0.00052478
baseline_current,2026-04-01_to_2026-04-01_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_2c0adaf176d9be93398b285e,2c0adaf176d9be93398b285e,2026-04-01 00:26:00+00:00,2026-04-01 00:27:00+00:00,2026-04-01 00:27:00+00:00,STOP,0,-0.00025841
baseline_current,2026-04-01_to_2026-04-01_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_5f2ad97cd2153b5366d43956,5f2ad97cd2153b5366d43956,2026-04-01 04:55:00+00:00,2026-04-01 04:56:00+00:00,2026-04-01 04:57:00+00:00,TARGET,1,0.00080608
baseline_current,2026-04-01_to_2026-04-01_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_8cbb4d5d1755c261814054a1,8cbb4d5d1755c261814054a1,2026-04-01 04:55:00+00:00,2026-04-01 04:56:00+00:00,2026-04-01 04:57:00+00:00,TARGET,1,0.00146500
