variant,run_id,status,source_setups,selected_setups,output_dir,trade_count,resolved_trade_count,unresolved_trade_count,win_rate,mean_return,median_return,promotion_decision,validation_status,robustness_status,notes
favorable_close_confirm_1,2026-04-08_to_2026-04-08_run_001,COMPLETED,8,5,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-08_to_2026-04-08_run_001,5,5,0,0.2,-0.00044704,-0.00069626,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-09_to_2026-04-09_run_001,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-09_to_2026-04-09_run_001,3,3,0,0.6666666666666666,0.00041835,0.00036548,REJECT,FAIL,UNSTABLE,
entry_delay_1,2026-04-09_to_2026-04-09_run_001,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-09_to_2026-04-09_run_001,3,3,0,0.6666666666666666,-0.00001562,0.00001840,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-04-09_to_2026-04-09_run_001,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-09_to_2026-04-09_run_001,3,3,0,0.0,-0.00086970,-0.00105070,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-04-09_to_2026-04-09_run_001,COMPLETED,3,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-09_to_2026-04-09_run_001,2,2,0,0.5,-0.00003264,-0.00003264,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-09_to_2026-04-09_run_001,COMPLETED,3,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-09_to_2026-04-09_run_001,2,2,0,0.5,-0.00003264,-0.00003264,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-09_to_2026-04-09_run_002,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-09_to_2026-04-09_run_002,3,3,0,0.6666666666666666,0.00041835,0.00036548,REJECT,FAIL,UNSTABLE,
entry_delay_1,2026-04-09_to_2026-04-09_run_002,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-09_to_2026-04-09_run_002,3,3,0,0.6666666666666666,-0.00001562,0.00001840,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-04-09_to_2026-04-09_run_002,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-09_to_2026-04-09_run_002,3,3,0,0.0,-0.00086970,-0.00105070,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-04-09_to_2026-04-09_run_002,COMPLETED,3,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-09_to_2026-04-09_run_002,2,2,0,0.5,-0.00003264,-0.00003264,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-09_to_2026-04-09_run_002,COMPLETED,3,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-09_to_2026-04-09_run_002,2,2,0,0.5,-0.00003264,-0.00003264,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-09_to_2026-04-09_run_003,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-09_to_2026-04-09_run_003,3,3,0,0.6666666666666666,0.00041835,0.00036548,REJECT,FAIL,UNSTABLE,
entry_delay_1,2026-04-09_to_2026-04-09_run_003,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-09_to_2026-04-09_run_003,3,3,0,0.6666666666666666,-0.00001562,0.00001840,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-04-09_to_2026-04-09_run_003,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-09_to_2026-04-09_run_003,3,3,0,0.0,-0.00086970,-0.00105070,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-04-09_to_2026-04-09_run_003,COMPLETED,3,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-09_to_2026-04-09_run_003,2,2,0,0.5,-0.00003264,-0.00003264,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-09_to_2026-04-09_run_003,COMPLETED,3,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-09_to_2026-04-09_run_003,2,2,0,0.5,-0.00003264,-0.00003264,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-10_to_2026-04-10_run_001,COMPLETED,6,6,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-10_to_2026-04-10_run_001,6,6,0,0.6666666666666666,0.00007471,0.00018371,REJECT,FAIL,UNSTABLE,
