ExpiryModel,SetupId,Direction,SourceTF,RefExit,SweepExit,RefR,SweepR,DeltaR_SweepMinusRef,RefRiskDistance,SweepRiskDistance,RefHoldBars,SweepHoldBars,SweepSavesReferenceSL,SweepMakesTPUnreachable,ReferenceWinsTinyR
BARS_AFTER_ACTIVATION:1440,7b888d3386fe39dad14954b7,SHORT,H4,TARGET,STOP,1.5,-1.0,-2.5,33.4,219.5,1,7,False,True,True
BARS_AFTER_ACTIVATION:1440,7d7d5ff4a49433f6625e6d11,LONG,H4,STOP,STOP,-1.0,-1.0,0.0,6.3,82.0,2,6,False,False,False
BARS_AFTER_ACTIVATION:1440,7d856434da09bf9891af1b48,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,64.6,117.4,6,6,False,False,False
BARS_AFTER_ACTIVATION:1440,7e7b562d498c04837fb13959,SHORT,H1,TARGET,TARGET,1.5,1.5,0.0,31.9,36.1,5,5,False,False,False
BARS_AFTER_ACTIVATION:1440,7e9aea218f3084b2c0574d9d,SHORT,H1,TARGET,STOP,1.5,-1.0,-2.5,12.5,367.6,0,101,False,True,True
BARS_AFTER_ACTIVATION:1440,7eb2f64f0f4dd2e6b4008c7a,SHORT,H1,TARGET,STOP,1.5,-1.0,-2.5,19.5,32.8,0,2,False,True,True
BARS_AFTER_ACTIVATION:1440,80d531f5a1b3bc16655ba77b,LONG,H1,TARGET,TARGET,1.5,1.5,0.0,4.3,141.3,1,46,False,False,False
BARS_AFTER_ACTIVATION:1440,823ad349f4ddb036797ded4e,SHORT,H1,TARGET,TARGET,1.5,1.5,0.0,101.9,296.2,5,127,False,False,False
BARS_AFTER_ACTIVATION:1440,84b4a773e173b42be1f3ea1f,LONG,H4,TARGET,TARGET,1.5,1.5,0.0,13.5,97.4,0,30,False,False,False
BARS_AFTER_ACTIVATION:1440,85bdb714d615b9c29891dc51,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,28.5,41.5,1,1,False,False,False
BARS_AFTER_ACTIVATION:1440,87d6f3887a24c84e0093740a,SHORT,H1,STOP,STOP,-1.0,-1.0,-0.0,51.7,223.1,0,37,False,False,False
BARS_AFTER_ACTIVATION:1440,89522034e456a3a1c21cacdc,SHORT,H1,TARGET,TARGET,1.5,1.5,0.0,96.3,246.7,4,30,False,False,False
BARS_AFTER_ACTIVATION:1440,898f378842a15c489d666e43,SHORT,H4,TARGET,TARGET,1.5,1.5,-0.0,89.3,183.0,11,16,False,False,False
BARS_AFTER_ACTIVATION:1440,8a7d95d769b2f7b579290782,LONG,H1,TARGET,TARGET,1.5,1.5,0.0,40.3,58.8,4,4,False,False,False
BARS_AFTER_ACTIVATION:1440,8e85a4468a9719d03a0d0171,LONG,H1,STOP,TARGET,-1.0,1.5,2.5,1.4,69.4,0,4,True,False,False
BARS_AFTER_ACTIVATION:1440,9002a65aedaa23d6742567d2,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,0.8,64.8,1,1,False,False,False
BARS_AFTER_ACTIVATION:1440,938d42fcd70403ea85ab5f50,SHORT,H1,STOP,TARGET,-1.0,1.5,2.5,56.8,175.0,10,15,True,False,False
BARS_AFTER_ACTIVATION:1440,98bea120ef4adbb2d278f545,SHORT,H1,TARGET,TARGET,1.5,1.5,-0.0,70.2,255.8,3,20,False,False,False
BARS_AFTER_ACTIVATION:1440,9c6b9223803a95ea039e6862,SHORT,H1,TARGET,STOP,1.5,-1.0,-2.5,63.6,192.0,0,5,False,True,True
BARS_AFTER_ACTIVATION:1440,9ec69c6605ca85675e0e6e06,LONG,H4,TARGET,STOP,1.5,-1.0,-2.5,14.3,58.8,0,1,False,True,True
BARS_AFTER_ACTIVATION:1440,a144411e1f60a279a904c690,SHORT,H1,STOP,STOP,-1.0,-1.0,-0.0,64.6,90.3,7,12,False,False,False
BARS_AFTER_ACTIVATION:1440,a188812fcd0010e08812b39c,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,27.0,40.1,1,1,False,False,False
BARS_AFTER_ACTIVATION:1440,a4b5b44714ca7e13a0dfd875,LONG,H4,TARGET,TARGET,1.5,1.5,-0.0,9.1,225.9,0,27,False,False,False
BARS_AFTER_ACTIVATION:1440,a5309a6d54b66f59261b0e8c,LONG,H1,TARGET,TARGET,1.5,1.5,-0.0,24.1,33.8,0,5,False,False,False
BARS_AFTER_ACTIVATION:1440,a598ee489c6266b9663bdda4,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,31.4,86.1,0,1,False,False,False
BARS_AFTER_ACTIVATION:1440,a677c262f570695e493cd91f,LONG,H4,TARGET,TARGET,1.5,1.5,0.0,35.7,46.2,0,1,False,False,False
BARS_AFTER_ACTIVATION:1440,a694e9f566e0457ed8123d7c,LONG,H1,TARGET,TARGET,1.5,1.5,0.0,9.1,19.0,0,2,False,False,False
BARS_AFTER_ACTIVATION:1440,a6dc7c32e568dabfccbb9e7b,SHORT,H1,TARGET,TARGET,1.5,1.5,-0.0,62.9,142.5,4,5,False,False,False
BARS_AFTER_ACTIVATION:1440,a7041ce1f10fd1f3af817637,LONG,H4,STOP,TARGET,-1.0,1.5,2.5,0.2,97.6,1,149,True,False,False
BARS_AFTER_ACTIVATION:1440,a8e1fa3c303b62aa7726cd86,SHORT,H1,TARGET,STOP,1.5,-1.0,-2.5,47.2,124.0,9,28,False,True,True
BARS_AFTER_ACTIVATION:1440,a9380a59eae2b8756ef2ebaa,LONG,H1,TARGET,STOP,1.5,-1.0,-2.5,99.5,151.4,5,18,False,True,True
BARS_AFTER_ACTIVATION:1440,aa05eab67329244350a47266,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,72.9,182.1,1,22,False,False,False
