StopModel,SetupId,Direction,SourceTF,Exit1440,Exit2880,Exit4320,Exit5760,R1440,R2880,R4320,R5760,Hold1440,Hold5760,ChangedVs1440,Expiry1440ToTP,Expiry1440ToSL,UnchangedAcrossExpiries
REFERENCE_LEVEL_HARD_STOP,6d0e09c4a42a93ab19e9b46f,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,6ded84a264bd234ef565b710,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,6e61c08bda2a0cf64c034380,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,6ec162d93d344ce6d10217b3,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,715ba4f3eaf520fc8a7b6be7,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,73b6c5cf922064c9b828e263,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,73b794414f1deb66167c69b0,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,747855283015820c70664969,SHORT,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,74df23a499a4f19b3edcc8c0,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,17,17,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,752a04162f5f952bae4ebb52,LONG,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,771759cca1539ee71e999cb7,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,38,38,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,78a602a40a9f851489d94748,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
